#   wl        direct       diffuse (W/m^2/mic)
1.8600     0.0771166     0.0030867
1.8625     0.6752037     0.0268270
1.8650     0.6715251     0.0264844
1.8675     0.0212807     0.0008340
1.8700     0.0048825     0.0001901
1.8725     0.0048551     0.0001881
1.8750     0.0029720     0.0001146
1.8775     0.3544673     0.0136155
1.8800     6.6565127     0.2548005
1.8825     6.6187062     0.2525201
1.8850     2.0000505     0.0760562
1.8875     0.8487809     0.0321565
1.8900     0.8438107     0.0318492
1.8925     1.3133174     0.0494089
1.8950    26.8887424     1.0083045
1.8975    26.9175262     1.0062646
1.9000     0.0320903     0.0011959
1.9025     1.6170614     0.0601065
1.9050     0.0710888     0.0026355
1.9075     0.0707591     0.0026172
1.9100     0.8218607     0.0303287
1.9125     0.3551758     0.0130749
1.9150     0.3535561     0.0129835
1.9175     4.3979840     0.1611866
1.9200     0.0373164     0.0013650
1.9225     0.0371381     0.0013554
1.9250     2.6968782     0.0982011
1.9275     0.4859621     0.0176608
1.9300     0.4836412     0.0175423
1.9325     2.0773320     0.0752019
1.9350    12.4206228     0.4487768
1.9375    12.3594418     0.4458388
1.9400     1.2379401     0.0445835
1.9425     8.9773350     0.3227436
1.9450     8.9338036     0.3206161
1.9475    12.6374493     0.4530740
1.9500    18.9239979     0.6777765
1.9525    18.8292866     0.6736106
1.9550     8.6290541     0.3083477
1.9575    12.8434544     0.4585564
1.9600    12.7781258     0.4558394
1.9625    14.9613266     0.5334302
1.9650    25.3390446     0.9029434
1.9675    25.2080479     0.8968769
1.9700    33.6655922     1.1959258
1.9725    38.2323418     1.3572249
1.9750    38.0313835     1.3491812
1.9775    46.0762978     1.6337136
1.9800    45.8313713     1.6241732
1.9825    51.6294136     1.8265820
1.9850    50.9458733     1.7993975
1.9875    50.6661530     1.7880781
1.9900    49.8683510     1.7585160
1.9925    55.9793129     1.9721562
1.9950    55.6665802     1.9593073
1.9975    39.6600418     1.3942235
2.0000    39.6850624     1.3934155
2.0025    22.2508850     0.7804403
2.0050    13.6590786     0.4785786
2.0075    13.6003141     0.4760848
2.0100    34.2189140     1.1967579
2.0125    19.8312969     0.6927477
